2025-10-20 05:56:12 | INFO     | anti_forget:192 | 切换五角星: 会话=af_1_外研5上 (糖果)_1760953422, 单词ID=2605, 新状态=True
2025-10-20 05:56:20 | INFO     | anti_forget:192 | 切换五角星: 会话=af_1_外研5上 (糖果)_1760953422, 单词ID=2605, 新状态=False
2025-10-20 05:56:22 | INFO     | anti_forget:192 | 切换五角星: 会话=af_1_外研5上 (糖果)_1760953422, 单词ID=2573, 新状态=True
2025-10-20 05:56:28 | INFO     | anti_forget:219 | 完成复习: 会话=af_1_外研5上 (糖果)_1760953422, 当前次数=2/10, 已完成=False
2025-10-20 05:56:58 | INFO     | auth:113 | 用户尝试登录: jlhstu
2025-10-20 05:56:59 | INFO     | auth:135 | 登录成功: 用户=jlhstu, 角色=student, ID=user-1760933270076
2025-10-20 23:51:02 | INFO     | auth:114 | 用户尝试登录: jlh
2025-10-20 23:51:03 | INFO     | auth:136 | 登录成功: 用户=jlh, 角色=teacher, ID=user-1760923774726
2025-10-20 23:51:31 | INFO     | auth:114 | 用户尝试登录: admin
2025-10-20 23:51:31 | INFO     | auth:136 | 登录成功: 用户=admin, 角色=admin, ID=admin-001
2025-10-20 23:52:40 | INFO     | schedule:67 | 管理员 admin 为教师 jlh 创建课程
2025-10-20 23:52:40 | INFO     | schedule:99 | 课程创建成功: 教师ID=user-1760923774726, 学生=Linhao, 日期=2025-10-21, 时间=09:30, 类型=learning, 时长=60分钟
2025-10-20 23:52:51 | INFO     | auth:114 | 用户尝试登录: jlh
2025-10-20 23:52:51 | INFO     | auth:136 | 登录成功: 用户=jlh, 角色=teacher, ID=user-1760923774726
2025-10-20 23:53:41 | INFO     | progress:218 | 九宫格统计: 学生=Linhao, 单词集=Sheet1, 总单词数=2504, 已学=0, 统计={'grid_0': 2504, 'grid_1': 0, 'grid_2': 0, 'grid_3': 0, 'grid_4': 0, 'grid_5': 0, 'grid_6': 0, 'grid_7': 0, 'grid_8': 0}
2025-10-20 23:54:34 | INFO     | progress:218 | 九宫格统计: 学生=Linhao, 单词集=Sheet1, 总单词数=2504, 已学=0, 统计={'grid_0': 2504, 'grid_1': 0, 'grid_2': 0, 'grid_3': 0, 'grid_4': 0, 'grid_5': 0, 'grid_6': 0, 'grid_7': 0, 'grid_8': 0}
2025-10-20 23:55:34 | INFO     | progress:303 | 标记任务完成: 学生=Linhao, 单词集=Sheet1, 组=1, 任务=1
2025-10-20 23:55:41 | INFO     | progress:303 | 标记任务完成: 学生=Linhao, 单词集=Sheet1, 组=1, 任务=2
2025-10-20 23:59:40 | INFO     | progress:303 | 标记任务完成: 学生=Linhao, 单词集=Sheet1, 组=2, 任务=1
2025-10-20 23:59:45 | INFO     | progress:303 | 标记任务完成: 学生=Linhao, 单词集=Sheet1, 组=2, 任务=2
2025-10-20 23:59:58 | INFO     | progress:76 | 学习进度创建成功: 学生=Linhao, 单词集=Sheet1, 单词索引=0, 阶段=1/0
2025-10-20 23:59:58 | INFO     | progress:76 | 学习进度创建成功: 学生=Linhao, 单词集=Sheet1, 单词索引=1, 阶段=1/0
2025-10-20 23:59:58 | INFO     | progress:76 | 学习进度创建成功: 学生=Linhao, 单词集=Sheet1, 单词索引=2, 阶段=1/0
2025-10-20 23:59:58 | INFO     | progress:76 | 学习进度创建成功: 学生=Linhao, 单词集=Sheet1, 单词索引=3, 阶段=1/0
2025-10-20 23:59:58 | INFO     | progress:76 | 学习进度创建成功: 学生=Linhao, 单词集=Sheet1, 单词索引=4, 阶段=1/0
2025-10-21 00:00:01 | INFO     | anti_forget:80 | 创建抗遗忘会话: ID=af_1_Sheet1_1761022801, 学生=Linhao, 单词集=Sheet1, 单词数=5
2025-10-21 00:00:01 | INFO     | schedule:99 | 课程创建成功: 教师ID=user-1760923774726, 学生=Linhao, 日期=2025-10-22, 时间=11:00, 类型=review, 时长=30分钟
2025-10-21 00:00:01 | INFO     | schedule:99 | 课程创建成功: 教师ID=user-1760923774726, 学生=Linhao, 日期=2025-10-23, 时间=11:00, 类型=review, 时长=30分钟
2025-10-21 00:00:01 | INFO     | schedule:99 | 课程创建成功: 教师ID=user-1760923774726, 学生=Linhao, 日期=2025-10-24, 时间=11:00, 类型=review, 时长=30分钟
2025-10-21 00:00:01 | INFO     | schedule:99 | 课程创建成功: 教师ID=user-1760923774726, 学生=Linhao, 日期=2025-10-26, 时间=11:00, 类型=review, 时长=30分钟
2025-10-21 00:00:01 | INFO     | schedule:99 | 课程创建成功: 教师ID=user-1760923774726, 学生=Linhao, 日期=2025-10-28, 时间=11:00, 类型=review, 时长=30分钟
2025-10-21 00:00:01 | INFO     | schedule:99 | 课程创建成功: 教师ID=user-1760923774726, 学生=Linhao, 日期=2025-10-30, 时间=11:00, 类型=review, 时长=30分钟
2025-10-21 00:00:01 | INFO     | schedule:99 | 课程创建成功: 教师ID=user-1760923774726, 学生=Linhao, 日期=2025-11-02, 时间=11:00, 类型=review, 时长=30分钟
2025-10-21 00:00:01 | INFO     | schedule:99 | 课程创建成功: 教师ID=user-1760923774726, 学生=Linhao, 日期=2025-11-04, 时间=11:00, 类型=review, 时长=30分钟
