2025-10-23 17:43:56 | INFO     | app.migrations:22 | 🔍 开始检查数据库架构...
2025-10-23 17:43:56 | INFO     | app.migrations:103 | ✅ 数据库架构已是最新版本，无需迁移
2025-10-23 17:43:56 | INFO     | app.migrations:126 | 🔍 验证数据库架构...
2025-10-23 17:43:56 | INFO     | app.migrations:138 | ✅ 所有必需的列都已存在
2025-10-23 17:44:10 | INFO     | auth:114 | 用户尝试登录: admin
2025-10-23 17:44:11 | INFO     | auth:136 | 登录成功: 用户=admin, 角色=admin, ID=admin-001
2025-10-23 17:46:57 | INFO     | auth:172 | 管理员 admin 尝试创建新用户: jlh
2025-10-23 17:46:57 | INFO     | auth:206 | 新用户创建成功: 用户名=jlh, 角色=teacher, ID=user-1761277617468
2025-10-23 17:50:21 | INFO     | auth:172 | 管理员 admin 尝试创建新用户: linhao
2025-10-23 17:50:22 | INFO     | auth:206 | 新用户创建成功: 用户名=linhao, 角色=student, ID=user-1761277821999
2025-10-23 17:50:22 | INFO     | students:71 | 管理员 admin 为教师 jlh 创建学生: linhao
2025-10-23 17:50:22 | INFO     | students:120 | 学生创建成功: 教师ID=user-1761277617468, 学生=linhao, ID=1, 用户ID=user-1761277821999, 课时=20.0h
2025-10-23 17:50:52 | INFO     | words:274 | 批量添加单词: 单词集=Sheet1, 数量=2504, 教师=admin
2025-10-23 17:51:05 | INFO     | schedule:73 | 管理员 admin 为教师 jlh 创建课程
2025-10-23 17:51:05 | INFO     | schedule:124 | 课程创建成功: 教师ID=user-1761277617468, 学生=linhao, 时间=2025-10-23T01:00:00Z (UTC), 类型=learning, 时长=60分钟
2025-10-23 17:54:23 | INFO     | auth:114 | 用户尝试登录: jlh
2025-10-23 17:54:24 | INFO     | auth:136 | 登录成功: 用户=jlh, 角色=teacher, ID=user-1761277617468
2025-10-23 17:54:38 | INFO     | schedule:73 | 管理员 admin 为教师 jlh 创建课程
2025-10-23 17:54:38 | INFO     | schedule:124 | 课程创建成功: 教师ID=user-1761277617468, 学生=linhao, 时间=2025-10-23T01:30:00Z (UTC), 类型=learning, 时长=60分钟
2025-10-23 17:54:46 | INFO     | schedule:73 | 管理员 admin 为教师 jlh 创建课程
2025-10-23 17:54:46 | INFO     | schedule:124 | 课程创建成功: 教师ID=user-1761277617468, 学生=linhao, 时间=2025-10-23T02:00:00Z (UTC), 类型=learning, 时长=60分钟
2025-10-23 17:54:55 | INFO     | schedule:73 | 管理员 admin 为教师 jlh 创建课程
2025-10-23 17:54:55 | INFO     | schedule:124 | 课程创建成功: 教师ID=user-1761277617468, 学生=linhao, 时间=2025-10-23T02:30:00Z (UTC), 类型=learning, 时长=60分钟
2025-10-23 19:03:14 | INFO     | progress:218 | 九宫格统计: 学生=linhao, 单词集=Sheet1, 总单词数=2504, 已学=0, 统计={'grid_0': 2504, 'grid_1': 0, 'grid_2': 0, 'grid_3': 0, 'grid_4': 0, 'grid_5': 0, 'grid_6': 0, 'grid_7': 0, 'grid_8': 0}
